Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
01/20/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,2.0,Each,140,10,12,0,3,0,0,370,140
01/20/2019,Sausage Patty,Breakfast,3.0,Servings,540,51,18,0,18,0,0,84,810
01/20/2019,"Potatoes, Breakfast",Breakfast,1.0,Each,140,5,2,21,0,1,2,0,290
01/20/2019,Tillamoo Medium Cheddar Cheese,Breakfast,0.5,Ounce,55,4.50,3.50,0,3,0,0,12.50,85
01/20/2019,"Oatmeal, Plain, Fortified, Instant, Cooked",Breakfast,1.0,Cup,159,3.18,5.55,27.31,0.61,1.8,3.98,0,114.66
01/20/2019,"Waffles, Homestyle",Breakfast,1.0,Each,90,3,2,13.50,0.75,1,0.25,2.50,180
01/20/2019,"Butter, Pure Irish",Breakfast,0.25,Tablespoon,25,2.75,0,0,2,0,0,7.50,0
01/20/2019,"Syrup, Maple",Breakfast,1.0,Tablespoon,52,0.4,0,13.42,0.1,11.90,0,0,1.80
01/20/2019,"Juice, Orange",Breakfast,6.0,Fluid ounces,84,0.37,1.30,19.34,0.4,15.62,0.37,0,1.86
01/20/2019,"Chips, Tortilla, White Corn",Lunch,20.0,Pieces,303,14.48,4.83,40.65,1.74,0.62,3.29,0,261.2
01/20/2019,Avocado,Lunch,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
01/20/2019,"Beef, Outside Skirt Steak, Boneless, Grilled, Lean",Lunch,0.5,Pound,640,43.22,62.70,0,15.21,0,0,232.13,160.9
01/20/2019,"Rice, White, Basmati, Cooked",Lunch,0.25,Cup,51,0.15,1.23,10.82,0.8,0,0.23,0,0.50
01/20/2019,"Beans, Refried",Lunch,0.25,Cup,41,0,2.52,6.55,0,1.51,2.54,0,347.88
01/20/2019,"Soda, Coke",Lunch,18.0,Ounces,210,0,0,58.50,0,58.50,0,0,67.50
01/20/2019,Tillamoo Medium Cheddar Cheese,Lunch,0.5,Ounce,55,4.50,3.50,0,3,0,0,12.50,85
01/20/2019,"Vegetables, Grilled",Lunch,1.0,Serving,40,2.50,1,4,0,2,1,0,40
01/20/2019,"Soup, Chicken Tortilla",Lunch,2.0,Cups,280,3,18,46,0,6,12,30,780
01/20/2019,Chocolate Milk,Morning Nosh,1.0,Serving,150,2.50,8,23,1.50,22,0,15,180
01/20/2019,"Cake, Tres Leches",Dessert,1.333,Pieces,333,20,5.33,33.33,10.66,27.99,0,66.65,213.28
01/20/2019,Original Tart,Dessert,18.0,Fluid ounces,405,0,13.50,90,n/a,67.50,n/a,n/a,517.50
01/20/2019,"Cookie, Chocolate Chip, Large",Dessert,1.0,Each,190,9.32,2.5,25.54,3.98,14.6,0.96,0,118.40
01/19/2019,Medium Fruit Cup,Breakfast,4.0,Servings,180,0,0,48,0,36,8,0,0
01/19/2019,Tillamoo Medium Cheddar Cheese,Breakfast,2.0,Ounces,220,18,14,0,12,0,0,50,340
01/19/2019,Avocado,Breakfast,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
01/19/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
01/19/2019,"Black Forest Ham, Smokemaster Beechwood Smoked",Breakfast,0.25,Pound,120,2,20,4,0,4,0,60,920
01/19/2019,"Bread, Sourdough",Breakfast,1.0,Slice,185,1.17,7.52,36.12,0.31,1.64,1.54,0,416
01/19/2019,"Butter, Pure Irish",Breakfast,1.0,Tablespoon,100,11,0,0,8,0,0,30,0
01/19/2019,Protein Milk,Breakfast,1.0,Cup,180,9,12,13,n/a,12,n/a,40,135
01/19/2019,"Chicken, Fried, Drumstick, w/ Skin, Fried in Flour",Dinner,1.0,Each,120,6.72,13.21,0.80,1.79,0,0.5,44.10,43.61
01/19/2019,"Pizza, Pepperoni, 14"", Fast Food",Dinner,2.0,Slices,596,24.26,26.63,67.95,10.52,8.23,3.24,58.32,1365.12
01/19/2019,"Salad, Greek, Half",Dinner,2.0,Each,400,36,8,14,8,8,4,20,1020
01/19/2019,"Whey Protein, Double Rich Chocolate, Gold Standard",Morning Nosh,1.0,Serving,120,1,24,3,0.50,1,0,30,60
01/19/2019,"Cookie, Chocolate Chip, Large",Dessert,1.0,Each,190,9.32,2.5,25.54,3.98,14.6,0.96,0,118.40
01/19/2019,"Chips, Corn, Sun Chips",Morning Nosh,25.0,Pieces,217,9.35,3.52,29.79,0.96,3.19,3.1,0,144.85
01/19/2019,"Cupcakes, Chocolate",Morning Nosh,2.0,Each,380,18,2,56,4,42,0,40,400
01/19/2019,Tillamoo Medium Cheddar Cheese,Morning Nosh,2.0,Ounces,220,18,14,0,12,0,0,50,340
01/19/2019,"Beef, Jerky, Original",Morning Nosh,2.0,Ounces,162,3.4,30.37,6.7,1.1,4.5,0,70.87,1457.97
01/19/2019,Hopadillo IPA Beer,Ale/Wine 1,24.0,Fluid ounces,297,0,3,27,0,0,0,0,21
01/19/2019,"Cookie, Chocolate Chip, Large",Dessert,1.0,Each,190,9.32,2.5,25.54,3.98,14.6,0.96,0,118.40
01/19/2019,"Cookie, Chocolate Chip, Large",Dessert,1.0,Each,190,9.32,2.5,25.54,3.98,14.6,0.96,0,118.40
01/19/2019,"Popcorn, Oil Popped",Morning Nosh,3.0,Cups,140,10.45,1.75,10.81,1.64,0.11,1.94,0,253.92
01/18/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,4.0,Each,280,20,24,0,6,0,0,740,280
01/18/2019,"Beef, Top Sirloin Steak, Lean, Cooked",Breakfast,0.125,Pound,146,8.93,15.20,0,3.52,0,0,47.6,30.62
01/18/2019,"Pork, Chorizo",Breakfast,1.0,Ounce,85,7.29,4.5,1.21,2.83,0.40,0,50.62,271.35
01/18/2019,Tillamoo Medium Cheddar Cheese,Breakfast,1.0,Ounce,110,9,7,0,6,0,0,25,170
01/18/2019,Sausage Patty,Breakfast,0.667,Serving,120,11.34,4,0,4,0,0,18.68,180.9
01/18/2019,Potato,Breakfast,0.25,Pound,83,0,2.27,19.66,0,2.27,1.51,0,7.56
01/18/2019,"Bread, Cornbread, From Mix",Dinner,2.0,Pieces,377,12,8.64,57.72,3.28,0,2.88,73.20,933.60
01/18/2019,"Potatoes, Mashed",Dinner,1.5,Cups,360,15,7.50,48,7.50,3,4.50,37.50,1095
01/18/2019,"Beef, Chuck, Roast or Steak",Dinner,1.0,Pound,972,59.40,118.80,0,24.30,0,0,431.99,323.99
01/18/2019,Grass Fed Whey Chocolate,Morning Nosh,1.0,Serving,120,0.50,24,6,0,0,2,5,130
01/18/2019,"Protein Box, Egg & Cheese",Morning Nosh,1.0,Serving,460,24,23,40,7,21,5,385,530
