Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
12/30/2018,"Soda, Red, Red",Breakfast,18.0,Fluid ounces,225,0,0,56.25,0,56.25,0,0,45
12/30/2018,Barbacoa,Breakfast,2.0,Servings,330,14,48,4,5,0,2,120,1060
12/30/2018,"Tortilla, Corn",Breakfast,5.0,Each,262,3.42,6.84,53.57,0.54,1.6,7.56,0,54
12/30/2018,"Soup, Menudo, Beef Tripe & Hominy Stew",Breakfast,15.0,Ounces,332,8.75,29.75,35,4.37,0,10.50,218.75,1819.97
12/30/2018,"Tortilla, Flour, 6""",Breakfast,1.0,Each,94,2.33,2.49,15.40,0.56,0.58,0.93,0,190.80
12/30/2018,"Tea, Iced, Sweet, w/o Lemon",Dinner,20.0,Fluid ounces,175,0,0,45,0,45,0,0,0
12/30/2018,"Enchiladas, Cheese",Dinner,2.0,Each,640,36,20,58,32,2,2,80,3060
12/30/2018,"Rice, White, Basmati, Cooked",Dinner,1.0,Cup,204,0.60,4.90,43.30,0.30,0,0.90,0,2
12/30/2018,"Beans, Refried",Dinner,2.0,Cups,324,0,20.18,52.42,0,12.10,20.33,0,2783
12/30/2018,High Energy Trail Mix,Morning Nosh,0.5,Cup,280,14,4,36,5,24,2,n/a,20
12/30/2018,"Cake, Chocolate Baby Bundt",Dessert,0.667,Each,380,20.1,4.67,46.69,4.67,30.68,1.33,36.69,400.20
12/30/2018,"Chips, Tortilla, Yellow Corn",Morning Nosh,25.0,Pieces,385,16.50,5.50,52.25,1.38,0,2.75,0,275
12/30/2018,"Cookie, Chocolate Chip, Small",Morning Nosh,10.0,Each,681,30.93,7.35,97.58,14.91,56.77,3.60,0,408
12/30/2018,"Tamales, Beef, Shred",Morning Nosh,3.0,Each,600,27,21,72,4.50,3,6,60,1980
12/30/2018,"Salad Dressing, Ranch",Morning Nosh,4.0,Tablespoons,296,31.15,0.81,2.67,4.76,2.32,0.17,16.24,574.20
12/29/2018,"Amino Pro, Fruit Punch",Breakfast,0.25,Scoop,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12/29/2018,"Coconut Water Protein Drink, Fruit Punch",Breakfast,1.0,Bottle,100,0,20,5,0,5,0,0,85
12/29/2018,"Tortilla, Corn, Yellow",Breakfast,4.0,Each,160,2,4,32,0,4,4,0,20
12/29/2018,"Soda, Red, Red",Breakfast,12.0,Fluid ounces,150,0,0,37.50,0,37.50,0,0,30
12/29/2018,Barbacoa,Breakfast,2.125,Servings,351,14.88,51,4.25,5.31,0,2.13,127.50,1126.25
12/29/2018,"Chicken Tenders, Fast Food",Dinner,8.0,Each,647,37.52,41.98,35.28,6.12,0,1.79,100.80,1919.68
12/29/2018,"French Fries, Medium, Fast Food",Dinner,0.5,Serving,214,11.42,2.52,25.13,2.65,0.46,2.35,0,129.98
12/29/2018,"Okra, Fried",Dinner,1.0,Each,190,18,5,42,0,2,3,0,700
12/29/2018,"Mashed Potatoes, w/ Gravy",Dinner,1.25,Servings,150,5,2.50,23.75,1.25,0,1.25,0,662.50
12/29/2018,"Sausage Gravy, Cup",Dinner,0.5,Serving,115,8,4,7,4.50,1,0,10,410
12/29/2018,"Coffee, Brewed",Afternoon Nosh,1.0,Cup,2,0.5,0.28,0,0,0,0,0,4.74
12/29/2018,Basix,Morning Nosh,1.0,Serving,210,8,20,24,4,1,9,5,140
12/29/2018,"Soda, Coke",Morning Nosh,10.0,Ounces,117,0,0,32.50,0,32.50,0,0,37.50
12/29/2018,"3 Musketeers, Mini",Morning Nosh,8.0,Pieces,194,5.71,1.14,36.57,4,30.86,1.14,5.71,91.43
12/29/2018,"Sour Cream, Regular",Morning Nosh,10.0,Tablespoons,300,25,5,10,17.50,5,0,100,75
12/29/2018,Tortilla Chips Thins,Morning Nosh,33.0,Grams,153,7.7,2.36,20.4,1.18,0,2.36,0,58.93
12/29/2018,"Cookies, Biscotti, Originali",Morning Nosh,3.0,Each,270,9,6,42,3,21,0,600,195
12/29/2018,"Crackers, Ritz",Morning Nosh,12.0,Each,189,8.91,2.78,24.39,2.9,3.13,0.88,0,338.69
12/29/2018,"Beer, Pale Ale",Ale/Wine 1,12.0,Fluid ounces,175,0,1.50,14.10,0,n/a,n/a,0,n/a
12/29/2018,"Coffee, Iced, Caramel Mocha, w/ Cream, Medium",Dessert,1.0,Each,260,9,4,42,6,36,1,30,50
12/28/2018,"Amino Pro, Fruit Punch",Breakfast,0.25,Scoop,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12/28/2018,Grass Fed Whey Chocolate,Breakfast,1.333,Servings,160,0.67,31.99,8,0,0,2.67,6.67,173.29
12/28/2018,"Pudding, Rice, Made w/ Whole Milk",Breakfast,8.0,Ounces,274,6.40,7.37,46.90,3.81,0,0.23,24.95,244.94
12/28/2018,"Brisket, Beef, Sliced, 4 oz",Lunch,1.333,Each,440,29.33,42.66,2.67,12,1.33,0,155.96,935.77
12/28/2018,"Sausage, Polska Kielbasa",Lunch,1.333,Ounces,61,3.37,6.7,2.2,1.1,0.67,0.67,20.24,337.41
12/28/2018,"Pork Ribs, Spareribs, Braised",Lunch,1.75,Ounces,197,15.3,14.42,0,5.52,0,0,60.3,46.14
12/28/2018,"Sauce, Barbecue, Honey",Lunch,4.0,Tablespoons,140,0,0,34,0,30,0,0,600
12/28/2018,"Beans, Baked, w/ Pork, Canned",Lunch,1.25,Cups,335,4.90,16.41,63.22,1.87,0,17.39,22.14,1309.28
12/28/2018,"Salad, Potato",Lunch,1.0,Cup,285,15.7,3.83,33.83,2.58,0,0,150,820
12/28/2018,"Soda, Red, Red",Lunch,12.0,Fluid ounces,150,0,0,37.50,0,37.50,0,0,30
12/28/2018,"Beef, Jerky, Original",Morning Nosh,62.5,Grams,200,2.35,22.32,19.97,1.17,15.27,0,46.99,1632.99
12/28/2018,"Chocolate Bar, Milk Chocolate",Dessert,0.667,Each,147,8.67,2,16.68,5.34,16.1,0.67,6.67,23.34
12/28/2018,Organic Multigrain Tortilla Chips,Morning Nosh,42.0,Grams,210,10.50,3,25.50,0.75,0,3,0,112.50
12/28/2018,"Cheese Ball, Extra Sharp Cheddar",Morning Nosh,4.0,Tablespoons,220,16,10,8,8,6,0,40,380
12/28/2018,"Dip, Creamy Spinach",Morning Nosh,4.0,Tablespoons,100,8,1,4,0,1,1,0,400.5
12/28/2018,"Crackers, Ritz",Morning Nosh,12.0,Each,189,8.91,2.78,24.39,2.9,3.13,0.88,0,338.69
12/28/2018,"Milk, Low Fat, 1%",Dessert,1.125,Cups,113,2.81,9,12.38,1.69,12.38,0,16.88,135
12/28/2018,"Cake, Red Velvet Baby Bundt",Dessert,0.5,Each,235,9.50,3,36.50,2.50,25,0.50,17.50,315
12/28/2018,"Tea, Iced, Sweet, w/o Lemon",Dessert,16.0,Fluid ounces,140,0,0,36,0,36,0,0,0
