Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/30/2018,"Hamburger, Whataburger, Triple Meat",Lunch,1.0,Each,"1,120",68,61,58,26,13,2,192,1759
09/30/2018,Avocado,Lunch,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
09/30/2018,"Fries, Crinkle Cut",Lunch,1.5,Servings,446,22.50,3,75,n/a,n/a,n/a,n/a,n/a
09/30/2018,Chicken Tender,Dinner,4.0,Pieces,508,28,28,36,n/a,n/a,n/a,n/a,n/a
09/30/2018,"Fries, Crinkle Cut",Dinner,1.333,Servings,396,20,2.67,66.65,n/a,n/a,n/a,n/a,n/a
09/30/2018,"Bread, Texas Toast",Dinner,0.333,Serving,50,1.67,1.33,7.99,0.33,1.67,0.33,0,96.57
09/29/2018,Sausage Patty,Breakfast,2.0,Servings,360,34,12,0,12,0,0,56,540
09/29/2018,2 Fried Eggs In Olive Oil,Breakfast,1.0,Serving,160,12,12,0,4,0,0,330,120
09/29/2018,"Green Apple, Medium",Lunch,1.0,Serving,80,0.20,0.50,12,n/a,10,3.30,n/a,n/a
09/29/2018,"Candy, Caramels",Lunch,2.0,Each,77,1.64,0.93,15.55,0.50,13.23,0,1.41,49.49
09/29/2018,"Candy, Chocolate",Lunch,30.0,Pieces,108,4.50,0.90,15.30,2.70,13.50,0.45,2.25,13.50
09/29/2018,"Cheese, Cheddar",Dinner,1.0,Ounce,111,9.11,7.9,0,5.6,0,0,30.37,182.25
09/29/2018,Italian Dry Salami,Dinner,1.0,Ounce,100,7,8,1,2.50,n/a,n/a,35,400
09/29/2018,"Ribs, Baby Back, Half Rack",Dinner,1.0,Each,550,37,51,2,13,n/a,n/a,n/a,570
09/29/2018,"Beans, Baked, Canned",Dinner,0.667,Cup,159,0.62,8.2,35.67,0.12,13.43,6.92,0,578.82
09/29/2018,"Salad, Potato",Dinner,0.5,Cup,143,7.54,1.91,16.91,1.29,0,0,75,410
09/29/2018,"Taco, Flour, Fajita, Chicken",Dinner,1.0,Each,350,12,36,22,6,2,5,95,1440
09/29/2018,"French Fries, Medium, Fast Food",Dinner,0.25,Serving,107,5.71,1.26,12.57,1.33,0.23,1.17,0,64.99
09/29/2018,"Chips, Tortilla, Yellow Corn",Dinner,7.0,Pieces,108,4.62,1.54,14.63,0.39,0,0.77,0,77
09/29/2018,Ice Dream Cone,Dinner,1.0,Serving,170,4,5,31,2,25,0,n/a,n/a
09/29/2018,Corn Dog,Dinner,0.25,Each,115,4.72,4.20,13.95,1.29,0,0,19.69,243.25
09/29/2018,Organic Coconut Bites,Dinner,0.5,Dry Cup,150,12,3,12,7,6,2,0,45
09/29/2018,Mozarella Cheese Balls,Morning Nosh,6.0,Ounces,60,4.50,6,0,2.50,0,0,15,25
09/29/2018,"Popcorn, Microwave, Low Fat",Morning Nosh,2.0,Cups,68,1.52,2.2,11.52,0.23,0.15,2.27,0,141.44
09/29/2018,"Chips, Exotic Root Vegetable",Morning Nosh,3.0,Ounces,377,21.26,3.4,54.67,3.4,0,6.7,0,66.82
09/28/2018,"Brisket, Beef, Sliced, 4 oz",Breakfast,1.667,Each,550,36.67,53.34,3.33,15,1.67,0,195.4,1170.23
09/28/2018,Avocado,Breakfast,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
09/28/2018,Sauteed Peppers and Onions,Breakfast,1.0,Each,90,6,1,8,1,4,2,0,135
09/28/2018,"Pizza, Cheese, 14"", Fast Food",Dinner,3.25,Slices,884,31.83,39.87,109.6,14.13,13.46,5.69,70.30,1790.91
09/28/2018,"Chicken Breast, Skinless, Cooked",Dinner,4.0,Ounces,187,4.5,35.18,0,1.15,0,0,96.39,83.91
09/28/2018,"Pasta, Fettuccine, Dry",Dinner,2.0,Servings,400,2,14,84,0,4,4,0,0
09/28/2018,"Bar, Nuts & Spices, Dark Chocolate Nuts & Sea Salt",Morning Nosh,1.0,Each,200,13,6,16,3.50,5,7,0,125
09/27/2018,"P3 Protein Packs Honey Roasted Nuts, Sweet/Spicy Teriyaki Je",Lunch,1.0,Serving,250,18,13,11,2,6,3,10,420
09/27/2018,"Salad Dressing, Thousand Island",Dinner,1.0,Tablespoon,59,5.61,0.17,2.34,0.81,2.43,0.13,4.16,138.8
09/27/2018,"Bread, French, Small Slice",Dinner,1.0,Slice,92,0.59,3.76,18.6,0.16,0.82,0.77,0,208
09/27/2018,"Butter, Salted",Dinner,1.0,Tablespoon,102,11.52,0.12,0.1,7.29,0.1,0,30.53,81.79
09/27/2018,"Steak, Slow Roasted Prime Rib, 8 oz",Dinner,2.0,Servings,"1,400",114,92,0,52,1,0,350,2320
09/27/2018,"Ice Cream, Vanilla",Dessert,1.5,Cups,410,21.78,6.93,46.73,13.44,42.2,1.39,87.12,158.40
09/26/2018,Chipotle Peanuts,Lunch,1.0,Serving,260,19,13,10,2.50,4,3,5,370
09/26/2018,"Chicken Fries, 9 Piece",Dinner,1.0,Serving,280,17,13,20,3,1,1,35,850
09/26/2018,"Soda, Dr. Pepper",Dinner,1.0,Can,151,0.37,0,38.27,0.26,0,0,0,36.80
09/26/2018,"French Fries, Small",Dinner,1.0,Serving,320,14,4,44,3,0,3,0,480
09/26/2018,"Hamburger, Texas Whopper, Triple",Dinner,1.0,Each,"1,270",86,76,50,33,8,3,240,1840
09/25/2018,Jalapeno Cashews,Lunch,1.0,Package,200,16,6,11,2.50,3,1,0,190
09/25/2018,Chorizo And Lime Smoked Shorty Sausages,Lunch,3.0,Sticks,170,14,10,2,4.50,0,0,50,420
09/25/2018,Pork cracklins,Lunch,1.0,Serving,250,18,21,0,6,n/a,n/a,30,1500
09/25/2018,"Chicken, Wing",Dinner,3.0,Each,305,25.50,14.25,3.75,6,2.25,0,60,307.50
09/25/2018,"Pizza, Hand Tossed, Slice, Supreme, 12""",Dinner,3.0,Each,780,36,33,78,15,9,6,90,2070
09/24/2018,Bacon,Breakfast,6.0,Slices,240,18,21,0,n/a,n/a,0,n/a,510
09/24/2018,"Dressing, Balsamic Vinaigrette",Breakfast,1.0,Teaspoon,17,1.83,0,0.33,0.8,0.33,0,0,10
09/24/2018,"Chili, Rich & Meaty, Large",Lunch,1.0,Serving,250,7,23,23,3,9,5,50,1170
09/24/2018,"Sandwich, Reuben",Lunch,1.0,Each,679,34,42,66,9,12,4,84,4052
09/24/2018,"Steak, Ribeye, 10 oz",Dinner,1.0,Serving,540,35,58,0,15,0,0,125,400
09/30/2018,Calorie Burn Bonus,Exercise,0,minutes,335.0
09/29/2018,Calorie Burn Bonus,Exercise,0,minutes,461.0
09/28/2018,Calorie Burn Bonus,Exercise,0,minutes,0.0
09/27/2018,Calorie Burn Bonus,Exercise,0,minutes,389.0
09/26/2018,Calorie Burn Bonus,Exercise,0,minutes,341.0
09/25/2018,Calorie Burn Bonus,Exercise,0,minutes,555.0
09/24/2018,Calorie Burn Bonus,Exercise,0,minutes,276.0
