Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
08/26/2018,"Rice, Steamed White, Prepared",Dinner,2.0,Cups,398,0.72,8.40,89.44,0,0,2.40,0,14
08/25/2018,"Bar, Chocolate Sea Salt",Breakfast,1.0,Each,210,9,12,24,2,13,5,0,240
08/25/2018,"Coffee, Cold-Brew, Double Espresso",Breakfast,2.0,Cans,100,1,4,20,0,12,0,10,80
08/25/2018,Protein Powder - Creamy Chocolate Fudge,Breakfast,2.0,Scoops,150,4,21,15,0.50,0,7,0,200
08/25/2018,"Apple, Small",Breakfast,1.0,Each,77,0.25,0.39,20.58,0.3,15.48,3.58,0,1.49
08/25/2018,Honey Roasted Virginia Peanuts,Breakfast,1.0,Ounce,130,8,4,12,1,8,1,0,130
08/25/2018,"Hot Dog, Hebrew National",Lunch,1.0,Each,550,34,20,42,15,7,2,70,1630
08/25/2018,"Soda, Pepsi",Lunch,1.0,Can,150,0,0,41,0,41,0,0,30
08/25/2018,Cold Brew Mocha Freeze,Lunch,1.0,Serving,390,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/25/2018,Hopadillo IPA Beer,Dinner,64.0,Fluid ounces,795,0,8,72,0,0,0,0,56
08/25/2018,"Fajitas, Steak, Grld",Dinner,8.0,Ounces,463,16.20,23.14,55.54,6.94,16.20,4.63,34.71,1041.41
08/25/2018,"Tortilla, Flour, 10""",Dinner,1.0,Each,218,5.42,5.80,35.95,1.32,1.34,2.17,0,445.20
08/25/2018,Pork Grinds,Dinner,2.0,Servings,160,12,14,0,4,0,0,30,560
08/25/2018,Queso Panela,Dinner,0.25,Pound,300,14,12,0,9,0,0,60,320
08/25/2018,Avocado,Dinner,0.667,Each,215,19.65,2.68,11.44,2.84,0.88,8.98,0,9.38
08/25/2018,"Drink, Sports, Gatorate, Orange, Dry Scoop",Morning Nosh,6.0,Tablespoons,301,0.95,0,73.4,0,62.48,0,0,48.89
08/25/2018,"Cookie, Chocolate Chip, Small",Morning Nosh,1.0,Each,68,3.9,0.74,9.76,1.49,5.68,0.36,0,40.80
08/25/2018,"Yogurt, Plain, Nonfat",Morning Nosh,6.0,Fluid ounces,80,0,9,12,0,12,0,5,120
08/25/2018,"Chicken Nuggets, 4 Piece",Morning Nosh,0.25,Serving,45,3.25,2.50,2.50,0.63,0,0.25,7.50,97.50
08/24/2018,"Bread, French, Small Slice",Lunch,1.667,Slices,154,0.98,6.27,30.11,0.26,1.37,1.28,0,346.74
08/24/2018,"Mashed Potatoes, Homemade w/ Whole Milk & Butter",Lunch,1.0,Cup,237,8.86,3.91,35.30,5.48,3,3.15,23.10,665.70
08/24/2018,Cesaer Salad,Lunch,1.0,Serving,150,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/24/2018,Pork Chop Lunch,Lunch,10.0,Ounces,560,42.75,40.75,0,n/a,n/a,n/a,n/a,n/a
08/24/2018,Fried asparagus,Lunch,1.0,Each,62,6.13,0.93,1.73,n/a,n/a,0.80,10.17,175
08/24/2018,The Dominic,Dinner,7.0,Slices,"1,288",42,49,169.75,17.50,5.25,7,91,3202.50
08/24/2018,Hopadillo IPA Beer,Ale/Wine 1,12.0,Fluid ounces,149,0,1.50,13.50,0,0,0,0,10.50
08/23/2018,Protein Powder - Creamy Chocolate Fudge,Breakfast,2.0,Scoops,150,4,21,15,0.50,0,7,0,200
08/23/2018,Chicken Fajita Bowl,Breakfast,1.0,Serving,310,3,35,37,0.50,5,6,80,350
08/23/2018,Pita Bread,Lunch,3.0,Each,90,1.50,3,16.50,0.75,0.75,0.75,0,105
08/23/2018,"Rice, White, Cooked",Lunch,1.5,Cups,363,0.59,6.64,79.77,0.16,n/a,0.84,0,0
08/23/2018,Gyro Meat,Lunch,5.0,Slices,425,31.25,18.75,13.75,12.50,1.25,0,100,1125
08/23/2018,Creamy Feta,Lunch,1.0,Ounce,60,4,5,1,2.50,0,0,15,370
