Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Running","2018-08-31 08:41","2018-08-31 09:06","0:25:02","4.030524031644221","169.1687242798354","185.0","0:06:12","9.657359100308046","311.00499999999994","395.96500000000077"
"Other","2018-08-30 20:08","2018-08-30 20:45","0:36:40",,"124.83879093198992","167.0",,,"372.25299999999845","478.97799999999813"
"Other","2018-08-30 05:03","2018-08-30 06:06","1:02:48",,"91.07832898172323","130.0",,,"273.98600000000187","422.0720000000002"
"Other","2018-08-29 05:25","2018-08-29 06:26","1:01:09",,"100.51060358890702","170.0",,,"426.908999999999","593.5309999999961"
"Other","2018-08-25 09:01","2018-08-25 12:51","3:48:43",,"128.6342909256726","186.0",,,"2338.057999999982","2876.8430000000008"
"Other","2018-08-24 20:52","2018-08-24 21:19","0:26:55",,"121.20529801324503","158.0",,,"232.608000000001","318.9150000000014"
"Other","2018-08-23 05:03","2018-08-23 06:22","1:19:53",,"121.5305785123967","184.0",,,"717.3600000000006","926.2639999999972"
"Cross Training","2018-08-22 22:59","2018-08-22 22:59","0:35:00",,,,,,"565.596799943175","650.457799943175"
"Other","2018-08-21 04:59","2018-08-21 06:06","1:07:23",,"100.9958071278826","159.0",,,"471.4949999999965","648.9479999999954"
"Other","2018-08-20 11:51","2018-08-20 13:01","1:09:55",,"105.61676646706587","180.0",,,"546.3719999999959","732.1749999999942"
"Other","2018-08-18 22:49","2018-08-18 23:37","0:43:29",,"140.96652719665272","166.0",,,"566.3720000000009","699.459"
"Other","2018-08-17 20:22","2018-08-17 20:57","0:34:58",,"120.14201183431953","170.0",,,"334.19199999999904","439.8449999999986"
"Other","2018-08-17 04:57","2018-08-17 06:05","1:08:40",,"104.50934579439253","150.0",,,"464.4609999999971","617.2159999999955"
"Other","2018-08-16 05:51","2018-08-16 06:06","0:15:33",,"121.41441441441441","169.0",,,"151.87599999999966","217.42099999999965"
"Other","2018-08-16 05:01","2018-08-16 05:51","0:49:28",,"117.53125","171.0",,,"398.6560000000004","508.6329999999991"
"Other","2018-08-15 21:09","2018-08-15 22:03","0:54:15",,"123.18181818181819","170.0",,,"540.7229999999995","690.5779999999982"
"Cycling","2018-08-14 21:23","2018-08-14 21:47","0:24:14",,"144.41729323308272","166.0",,,"315.3990000000001","375.66199999999986"
"Swimming","2018-08-14 13:07","2018-08-14 13:48","0:41:18","960.1200256347656","110.27802690582959","140.0",,"1.3946694730801015","203.12299999999834","324.8769999999972"
"Swimming","2018-08-14 13:05","2018-08-14 13:06","0:01:13",,"72.57142857142857","85.0",,,"1.4859999999999993","4.231999999999999"
"Other","2018-08-13 05:00","2018-08-13 06:05","1:05:54",,"109.21966527196653","158.0",,,"539.4479999999979","715.971999999998"
"Cycling","2018-08-12 21:50","2018-08-12 22:39","0:48:32",,"150.8139534883721","189.0",,,"701.5209999999965","838.1779999999953"
"Cycling","2018-08-11 19:30","2018-08-11 19:41","0:11:09",,"154.35833333333332","174.0",,,"165.53299999999993","221.15199999999993"
"Other","2018-08-11 19:20","2018-08-11 19:29","0:09:13",,"136.86746987951807","172.0",,,"107.65699999999973","128.73099999999977"
"Other","2018-08-11 19:09","2018-08-11 19:12","0:02:22",,"151.96","158.0",,,"30.53199999999999","36.004999999999995"
"Cycling","2018-08-11 18:57","2018-08-11 19:05","0:07:46",,"155.14814814814815","168.0",,,"118.36200000000014","135.89100000000016"
"Running","2018-08-11 18:33","2018-08-11 18:51","0:18:09","1.267828511000611","117.04093567251462","161.0","0:14:19","4.188845464539097","96.31599999999978","137.1209999999995"
"Other","2018-08-11 17:51","2018-08-11 18:33","0:41:48",,"109.84873949579831","159.0",,,"306.36700000000127","400.16900000000106"
"High Intensity Interval Training","2018-08-10 04:51","2018-08-10 07:03","1:24:09",,"116.18527918781726","158.0",,,"851.551999999998","1168.1600000000003"
"High Intensity Interval Training","2018-08-09 22:08","2018-08-09 22:21","0:12:48",,"124.87234042553192","153.0",,,"141.60900000000052","170.60100000000054"
"Other","2018-08-09 21:59","2018-08-09 22:08","0:08:46",,"121.45","142.0",,,"80.76400000000005","100.38900000000005"
"Other","2018-08-09 05:01","2018-08-09 07:48","0:19:33",,"102.28057553956835","140.0",,,"143.27699999999993","520.6939999999995"
"Swimming","2018-08-08 18:59","2018-08-08 19:20","0:21:29","566.2821655273438","78.29716981132076","153.0",,"1.5810431873979536","33.01500000000009","80.77100000000043"
"Swimming","2018-08-08 18:02","2018-08-08 18:58","0:56:31","722.3550415039062","85.50182481751825","174.0",,"0.7668075273554913","113.58799999999755","239.04699999999443"
"Other","2018-08-08 05:01","2018-08-08 07:17","2:16:07",,"116.30008598452278","177.0",,,"1179.7830000000226","1515.0090000000214"
"Other","2018-08-07 05:00","2018-08-07 07:17","1:26:08",,"120.69209431345354","176.0",,,"762.2939999999978","1087.2599999999954"
"Other","2018-08-06 05:00","2018-08-06 07:12","2:12:10",,"125.43828960155491","171.0",,,"1236.859000000003","1568.9440000000063"
"Other","2018-08-05 20:51","2018-08-05 21:44","0:52:53",,"132.8950276243094","176.0",,,"646.0140000000019","795.1299999999997"
"Other","2018-08-04 18:33","2018-08-04 19:31","0:57:45",,"155.1241935483871","180.0",,,"883.0279999999929","1041.7479999999916"
"Other","2018-08-03 04:58","2018-08-03 07:16","2:18:14",,"125.42210283960092","199.0",,,"1410.636","1756.4290000000008"
"Other","2018-08-02 05:09","2018-08-02 07:09","1:59:20",,"118.73127753303964","175.0",,,"1052.8780000000029","1355.3020000000065"
