Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Other","2018-10-31 15:30","2018-10-31 16:02","0:31:31",,"160.9389920424403","185.0",,,"462.5249999999994","527.5470000000005"
"Other","2018-10-29 15:21","2018-10-29 16:28","1:06:27",,"140.64739069111425","177.0",,,"792.4200000000004","957.6190000000023"
"Other","2018-10-27 11:42","2018-10-27 12:19","0:37:00",,"139.32678132678132","182.0",,,"434.2819999999996","510.49400000000105"
"Other","2018-10-26 06:13","2018-10-26 07:16","1:03:47",,"117.96270718232044","172.0",,,"505.22399999999993","635.0570000000023"
"Other","2018-10-25 19:22","2018-10-25 20:56","1:34:02",,"99.86188340807175","135.0",,,"568.0129999999959","779.6459999999923"
"Other","2018-10-25 18:04","2018-10-25 18:59","0:55:31",,"142.29733959311423","186.0",,,"652.2870000000005","794.2450000000028"
"Rowing","2018-10-25 17:57","2018-10-25 18:03","0:06:21",,"139.35","148.0",,,"31.176000000000002","44.664"
"Other","2018-10-24 21:09","2018-10-24 22:06","0:56:58",,"119.14218009478672","168.0",,,"465.64000000000084","582.2450000000032"
"Other","2018-10-24 05:55","2018-10-24 06:58","1:02:44",,"101.76144244105409","137.0",,,"353.8170000000016","482.149000000004"
"Other","2018-10-23 19:21","2018-10-23 20:12","0:51:24",,"135.43986254295532","179.0",,,"551.7430000000036","680.7800000000058"
"Cycling","2018-10-20 21:15","2018-10-20 21:51","0:36:36",,"143.67889908256882","168.0",,,"451.5669999999987","526.9060000000002"
"Other","2018-10-19 15:07","2018-10-19 16:12","1:04:56",,"144.03472222222223","177.0",,,"812.1909999999968","976.0359999999935"
"Other","2018-10-18 05:00","2018-10-18 06:12","1:12:11",,"139.23167848699762","180.0",,,"863.6619999999963","1013.7049999999939"
"Other","2018-10-17 12:08","2018-10-17 12:51","0:43:07",,"133.9030172413793","179.0",,,"465.43499999999807","553.3069999999973"
"Other","2018-10-16 04:56","2018-10-16 06:43","1:47:30",,"109.0039494470774","162.0",,,"823.5600000000057","1040.5349999999958"
"Other","2018-10-15 12:14","2018-10-15 12:57","0:43:18",,"141.6017130620985","180.0",,,"525.4919999999993","615.044999999998"
"Other","2018-10-14 20:11","2018-10-14 21:03","0:51:58",,"129.46227929373995","161.0",,,"523.951000000005","653.1410000000037"
"Other","2018-10-13 06:25","2018-10-13 07:46","1:20:49",,"122.75684210526316","172.0",,,"744.334999999989","945.149999999994"
"Other","2018-10-12 15:10","2018-10-12 16:32","1:21:49",,"139.68376068376068","184.0",,,"996.4559999999968","1166.6019999999946"
"Other","2018-10-11 04:58","2018-10-11 06:17","1:12:04",,"136.16744186046512","183.0",,,"828.3199999999995","993.8970000000035"
"Other","2018-10-10 21:57","2018-10-10 22:40","0:42:30",,"131.81764705882352","165.0",,,"453.6400000000038","558.7270000000027"
"Cycling","2018-10-09 20:08","2018-10-09 20:40","0:31:38",,"153.3209549071618","178.0",,,"438.9019999999997","526.713"
"Other","2018-10-09 04:59","2018-10-09 06:35","1:36:15",,"135.94082840236686","187.0",,,"1048.6260000000063","1245.5450000000028"
"Cycling","2018-10-08 21:00","2018-10-08 21:31","0:31:20",,"151.91978609625667","175.0",,,"440.20699999999914","507.35600000000045"
"Other","2018-10-07 06:04","2018-10-07 07:08","1:03:13",,"116.42586750788644","168.0",,,"468.7889999999965","633.8679999999937"
"Other","2018-10-05 13:27","2018-10-05 14:36","1:08:57",,"148.85323383084577","196.0",,,"921.9900000000005","1064.2899999999959"
"Other","2018-10-04 04:58","2018-10-04 06:32","1:34:44",,"145.79472693032014","189.0",,,"1192.7320000000036","1419.8939999999998"
"Other","2018-10-03 20:37","2018-10-03 21:12","0:34:22",,"147.73543689320388","172.0",,,"458.113","559.1039999999992"
"Other","2018-10-02 04:57","2018-10-02 07:02","1:46:32",,"135.67662116040955","187.0",,,"1199.6440000000082","1476.7420000000056"
"Other","2018-10-01 04:59","2018-10-01 07:06","2:07:41",,"140.45013661202185","196.0",,,"1563.9289999999921","1854.788999999998"
