Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Other","2018-07-31 05:00","2018-07-31 07:09","1:49:11",,"118.47162790697675","169.0",,,"960.9199999999979","1282.2100000000037"
"Other","2018-07-30 04:58","2018-07-30 07:06","1:41:57",,"128.11573472041613","176.0",,,"1026.7929999999985","1342.9830000000056"
"Other","2018-07-28 21:12","2018-07-28 22:16","1:03:55",,"137.72358900144718","168.0",,,"805.8529999999985","982.5300000000007"
"Cross Training","2018-07-27 22:59","2018-07-27 22:59","0:55:00",,,,,,"410.03843063260007","435.7614306326001"
"Other","2018-07-27 05:02","2018-07-27 07:10","2:08:30",,"126.87731092436975","171.0",,,"1310.5819999999785","1638.1999999999891"
