Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Other","2018-12-29 09:08","2018-12-29 10:36","1:27:23",,"107.38247863247864","154.0",,,"553.0239999999847","759.8789999999892"
"Other","2018-12-28 10:34","2018-12-28 11:08","0:34:10",,"99.17915309446254","139.0",,,"220.95200000000142","313.2450000000027"
"Other","2018-12-28 08:42","2018-12-28 09:17","0:35:17",,"119.03947368421052","171.0",,,"289.49800000000295","391.4300000000029"
"Other","2018-12-27 09:57","2018-12-27 10:57","1:00:20",,"119.5","167.0",,,"467.68799999999646","619.5049999999998"
"Elliptical","2018-12-24 09:44","2018-12-24 10:23","0:39:41",,"125.97892271662764","166.0",,,"380.3549999999991","462.13599999999803"
"Other","2018-12-23 06:56","2018-12-23 07:56","1:00:08",,"138.70497427101202","180.0",,,"725.625000000003","873.5880000000043"
"Elliptical","2018-12-22 20:52","2018-12-22 21:24","0:31:39",,"147.08849557522123","170.0",,,"379.1950000000002","474.4829999999994"
"Other","2018-12-21 04:54","2018-12-21 06:00","1:05:44",,"121.22222222222223","174.0",,,"572.0490000000002","733.654000000003"
"Elliptical","2018-12-20 19:53","2018-12-20 20:26","0:32:44",,"146.77777777777777","167.0",,,"406.97299999999996","497.42599999999914"
"Other","2018-12-18 05:19","2018-12-18 06:08","0:48:46",,"134.52793834296725","176.0",,,"505.49900000000054","604.3790000000029"
"Other","2018-12-15 06:59","2018-12-15 07:59","1:00:43",,"140.0420168067227","188.0",,,"703.3640000000049","827.3980000000067"
"Other","2018-12-14 05:00","2018-12-14 06:39","1:39:08",,"125.4695652173913","183.0",,,"921.3270000000042","1151.0130000000013"
"Other","2018-12-13 19:53","2018-12-13 21:02","1:08:36",,"141.27898089171975","180.0",,,"815.6009999999995","955.229000000003"
"Other","2018-12-12 05:10","2018-12-12 06:38","1:26:42",,"136.16384778012684","184.0",,,"943.5830000000058","1152.2280000000044"
"Other","2018-12-11 05:04","2018-12-11 07:26","0:37:55",,"119.9031377899045","169.0",,,"271.9999999999989","572.4140000000001"
"Other","2018-12-10 16:00","2018-12-10 17:05","1:04:37",,"115.29607250755286","172.0",,,"543.1120000000051","702.3690000000081"
"Other","2018-12-09 21:53","2018-12-09 22:00","0:07:01",,"105.60714285714286","132.0",,,"42.819000000000116","72.23400000000007"
"Other","2018-12-08 06:54","2018-12-08 07:59","1:04:48",,"146.2733224222586","176.0",,,"768.3149999999976","925.8259999999988"
"Other","2018-12-07 04:55","2018-12-07 06:48","1:52:19",,"111.47005742411812","168.0",,,"808.2300000000073","1062.3240000000048"
"Other","2018-12-06 16:03","2018-12-06 17:24","1:20:31",,"118.00710059171598","178.0",,,"655.0909999999967","839.529999999996"
"Other","2018-12-05 04:59","2018-12-05 06:17","1:18:00",,"134.79022646007152","176.0",,,"840.0749999999973","999.2599999999982"
"Elliptical","2018-12-04 21:14","2018-12-04 21:30","0:15:34",,"111.29054054054055","143.0",,,"125.51099999999988","187.7649999999996"
"Other","2018-12-03 16:01","2018-12-03 17:15","1:14:24",,"143.83026315789473","186.0",,,"887.9490000000089","1068.6940000000138"
"Cycling","2018-12-02 17:21","2018-12-02 17:35","0:14:16",,"139.5207100591716","155.0",,,"167.5860000000003","197.43600000000012"
"Other","2018-12-02 16:55","2018-12-02 17:17","0:22:48",,"161.55109489051094","170.0",,,"337.38799999999935","384.1989999999989"
