Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
08/05/2018,"Salad Dressing, Blue Cheese",Lunch,3.0,Tablespoons,214,23,0.62,2.8,3.72,1.57,0.18,13.95,418.50
08/05/2018,Bacon,Lunch,0.5,Slice,20,1.50,1.75,0,n/a,n/a,0,n/a,42.50
08/05/2018,"Cheese, Cheddar, Shredded",Lunch,0.5,Cup,228,18.72,14.7,0.72,11.92,0.29,0,59.33,350.87
08/05/2018,"Salad Greens, Romaine",Lunch,4.0,Cups,28,0,1.88,3.76,0,0,1.88,0,18.80
08/05/2018,Mixed Seafood Grill,Lunch,1.0,Serving,566,8,59,14,n/a,0,0,n/a,n/a
08/05/2018,"Barbeque Sauce, Whiskey Maple",Dinner,5.0,Tablespoons,175,0,2.50,40,0,35,2.50,0,950
08/05/2018,"Potatoes, Red, Baby, Cooked",Dinner,2.0,Cups,278,0.47,7.18,61.12,0.6,4.46,5.62,0,37.44
08/05/2018,"Pork, Shoulder, Boston Roast, Cooked",Dinner,13.0,Ounces,991,69.51,85.17,0,25.69,0,0,316.95,246.92
08/05/2018,"Blizzard, Butterfinger, Mini",Dessert,0.5,Serving,175,6,4,26.50,3.50,21,0,15,75
08/04/2018,"Bread, 21 Whole Grains And Seeds",Breakfast,1.0,Slice,60,1,3,12,0,3,3,0,105
08/04/2018,Eggs,Breakfast,2.0,Each,140,10,12,0,3,0,0,370,140
08/04/2018,Bacon,Breakfast,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
08/04/2018,"Avocado, California",Breakfast,0.5,Each,114,10.48,1.33,5.88,1.44,0.20,4.62,0,5.44
08/04/2018,"Cheese, Goat",Breakfast,1.0,Tablespoon,25,2,1.50,0.50,1.25,0.50,0,10,60
08/04/2018,"Apple, Small",Breakfast,1.0,Each,77,0.25,0.39,20.58,0.3,15.48,3.58,0,1.49
08/04/2018,"Beef, Short Ribs, Seperable Lean, Briased",Lunch,2.0,Pieces,714,43.87,74.44,0,18.73,0,0,225.6,140.36
08/04/2018,"Pasta, Macaroni, Cooked",Lunch,0.5,Cup,84,0.49,3.7,16.36,0.9,0.30,0.95,0,0.53
08/04/2018,"Greens, Swiss Chard, Chopped, Cooked",Lunch,2.0,Cups,70,0.28,6.58,14.46,0.4,3.85,7.35,0,626.50
08/04/2018,"Hamburger, Whataburger, Triple Meat",Dinner,1.0,Each,"1,120",68,61,58,26,13,2,192,1759
08/04/2018,"Water, Coconut",Dinner,16.0,Ounces,100,0,0,26,0,22,0,0,120
08/04/2018,Dark Chocolate with 88% Cocoa,Morning Nosh,1.0,Piece,30,2.86,0.57,2.43,1.57,0.71,0.86,0,0
08/04/2018,Hopadillo IPA Beer,Ale/Wine 1,12.0,Fluid ounces,149,0,1.50,13.50,0,0,0,0,10.50
08/03/2018,"Yogurt With Oats, Strawberry",Breakfast,1.0,Serving,200,2,10,36,0,14,3,5,45
08/03/2018,Hunter-Gatherer Chicken,Breakfast,1.0,Serving,300,6,34,30,1.50,11,5,80,690
08/03/2018,Avocado,Breakfast,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
08/03/2018,Chicken Teriyaki W/ Veggies No Rice.,Lunch,1.5,Servings,570,16.50,58.50,15,n/a,n/a,4.50,180,4443
08/03/2018,Cesear Salad,Dinner,1.25,Servings,250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/03/2018,Mod Pizza,Dinner,1.125,Each,900,42.75,41.63,109.13,18,2.25,4.50,124.88,2550.38
08/03/2018,Protein Powder - Creamy Chocolate Fudge,Morning Nosh,2.0,Scoops,150,4,21,15,0.50,0,7,0,200
08/03/2018,Double Dark Ice Cream,Dessert,1.0,Cup,380,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
08/03/2018,Hopadillo IPA Beer,Ale/Wine 1,12.0,Fluid ounces,149,0,1.50,13.50,0,0,0,0,10.50
08/02/2018,"Protein, Organic W/ Greens & Antioxidants",Breakfast,38.0,Grams,150,3,21,11,0.50,1,4,0,320
08/02/2018,Chicken breast Burrito Bowl,Breakfast,1.0,Package,390,10,30,46,6,4,7,40,720
08/02/2018,Avocado,Breakfast,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
08/02/2018,"Apple, Small",Breakfast,1.0,Each,77,0.25,0.39,20.58,0.3,15.48,3.58,0,1.49
08/02/2018,"Salad, Greek, Whole",Lunch,0.75,Each,300,27,3.75,9.75,6,5.25,3,18.75,757.50
08/02/2018,"Gyro Meat, Lamb",Lunch,5.0,Ounces,450,35,21.67,13.33,8.33,0,5,91.67,1466.67
08/02/2018,Pita Bread,Lunch,8.0,Each,240,4,8,44,2,2,2,0,280
08/02/2018,"Bun, Hot Dog, Plain",Dinner,2.333,Each,280,4.34,9.53,49.61,1.9,6.27,2.11,0,480.53
08/02/2018,"Hot Dog, Angus Beef Uncured",Dinner,2.0,Servings,340,30,12,4,12,0,0,70,740
08/02/2018,Almonds Pink Himalayan Salt,Morning Nosh,6.0,Pieces,43,3.75,1.50,1.25,0.25,0.25,0.75,0,33.75
08/02/2018,Vanilla + cinnamon Greek yogurt,Morning Nosh,5.0,Ounces,150,5,14,14,3,12,0,20,80
08/02/2018,Premium Steak Strips - Korean BBQ - 1oz/28g,Morning Nosh,14.0,Grams,40,0.50,5,3.50,0,3.50,0,12.50,225
08/02/2018,"Bread, 21 Whole Grains And Seeds",Morning Nosh,1.0,Slice,60,1,3,12,0,3,3,0,105
08/02/2018,"Cheese, Cheddar, 1 oz Slice",Morning Nosh,1.0,Slice,113,9.28,6.97,0.36,5.91,0.15,0,29.40,173.88
08/02/2018,"Turkey Breast, Oven Roasted, Skinless",Morning Nosh,0.25,Pound,121,2.2,26.32,0,0,0,0,50.62,688.49
08/01/2018,"Protein, Organic W/ Greens & Antioxidants",Breakfast,38.0,Grams,150,3,21,11,0.50,1,4,0,320
08/01/2018,"Meatless, Hearty Breakfast Bowl",Breakfast,1.0,Container,270,12,12,28,3.50,6,1,265,450
08/01/2018,"Tamale, Pork",Breakfast,1.0,Each,250,10,10,30,4,4,2,25,690
08/01/2018,Avocado,Breakfast,0.333,Each,107,9.81,1.34,5.71,1.42,0.44,4.48,0,4.69
08/01/2018,"Apple, Small",Breakfast,2.0,Each,155,0.51,0.77,41.15,0.6,30.96,7.15,0,2.98
08/01/2018,Chicken breast Burrito Bowl,Lunch,1.0,Package,390,10,30,46,6,4,7,40,720
08/01/2018,Cesar Salad,Dinner,2.0,Cups,300,24,8,14,4,2,4,30,540
08/01/2018,"Bread, Garlic Knots",Dinner,2.0,Servings,130,4,3,19,1,2,1,0,220
08/01/2018,"Pasta, Spaghetti, Enriched, Cooked",Dinner,2.333,Cups,516,3.4,18.94,100.80,0.56,1.83,5.88,0,3.27
08/01/2018,"Ground Beef, 85% Lean, Broiled",Dinner,1.0,Cup,307,19.4,31.89,0,7.23,0,0,110.70,88.56
08/01/2018,"Sauce, Mama's Special Garden, Chunky",Dinner,1.0,Cup,180,6,4,28,1,20,4,0,1020
08/01/2018,"Nuts, Pistachios, Roasted, Salted",Morning Nosh,0.667,Cup,200,17.34,8,10.67,2,2.67,4,0,180.9
08/01/2018,Ice Dream Cone,Morning Nosh,1.0,Serving,170,4,5,31,2,25,0,n/a,n/a
07/31/2018,"Protein, Organic W/ Greens & Antioxidants",Breakfast,38.0,Grams,150,3,21,11,0.50,1,4,0,320
07/31/2018,Huevos Rancheros Breakfast Bowl,Breakfast,1.0,Serving,270,7,14,37,3,3,6,15,450
07/31/2018,"Nuts, Nut-Rition, Heart Healthy Mix",Breakfast,1.0,Package,260,23,9,8,2.80,2,4,0,50.62
07/31/2018,Chicken breast Burrito Bowl,Lunch,1.0,Package,390,10,30,46,6,4,7,40,720
07/31/2018,"Chicken, Zesty Lemon Pepper",Lunch,1.0,Serving,70,2,9,4,0.50,1,8,30,450
07/31/2018,Corn Tortillas,Dinner,3.0,Each,150,1.50,3,31.50,0,3,3,0,30
07/31/2018,"Fajitas, Steak, Grld",Dinner,8.0,Ounces,463,16.20,23.14,55.54,6.94,16.20,4.63,34.71,1041.41
07/31/2018,"Corn, Sweet, Kernels",Dinner,0.5,Cup,62,0.98,2.37,13.56,0.23,4.54,1.45,0,10.88
07/31/2018,"Butter, Salted",Dinner,1.0,Tablespoon,102,11.52,0.12,0.1,7.29,0.1,0,30.53,81.79
07/31/2018,"Avocado, Small",Dinner,1.0,Each,233,19.87,4.34,15.21,3.80,4.71,10.90,0,4
07/31/2018,"Sour Cream, Regular",Dinner,2.0,Tablespoons,60,5,1,2,3.50,1,0,20,15
07/31/2018,"Nuts, Pistachios, Roasted, Salted",Morning Nosh,0.25,Cup,75,6.50,3,4,0.75,1,1.50,0,67.50
07/31/2018,Ricotta Con Latte,Morning Nosh,0.125,Cup,45,3.50,2,1,2.50,1,0,15,40
07/30/2018,Quinoa Power Breakfast Jar,Breakfast,1.0,Serving,337,12,9,52,1,n/a,9,n/a,99
07/30/2018,Hard Boiled Eggs,Breakfast,2.0,Servings,120,8,12,0,3,0,0,330,120
07/30/2018,Bacon,Breakfast,1.0,Slice,40,3,3.50,0,n/a,n/a,0,n/a,85
07/30/2018,"Egg, Fried, Small",Breakfast,1.0,Each,78,5,6,0.60,1.60,0.60,0,187,62
07/30/2018,"Beef, Brisket, Lean, Braised",Lunch,0.667,Pound,660,30.50,90.1,0,10.98,0,0,281.37,211.78
07/30/2018,"Salad, Potato",Lunch,1.0,Cup,285,15.7,3.83,33.83,2.58,0,0,150,820
07/30/2018,"Broccoli, Chopped, Steamed",Lunch,1.0,Cup,55,0.64,3.71,11.20,0.11,2.17,5.15,0,63.96
07/30/2018,"Hummus, Roasted Pine Nut",Dinner,14.0,Grams,40,3,1,2,0.50,0,0.50,0,65
