Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/23/2018,"Doughnut, Glazed Blueberry Cake",Breakfast,0.75,Each,278,18,1.50,29.25,7.50,20.25,0.75,15,157.50
09/23/2018,"Doughnut, Original Glazed",Breakfast,1.0,Each,190,11,2,21,5,10,1,0,75
09/23/2018,"Juice, Orange",Breakfast,8.0,Fluid ounces,112,0.50,1.74,25.79,0.5,20.83,0.50,0,2.48
09/23/2018,Bacon,Breakfast,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
09/23/2018,Biscuit and Gravy,Breakfast,1.0,Each,530,36,9,52,14,7,1,12,1823
09/23/2018,"Biscuit, With Sausage",Breakfast,1.0,Each,540,37,18,32,17,2,1,23,1169
09/23/2018,Pancakes,Breakfast,0.333,Each,193,2.66,5.66,37.30,0.67,8.99,1.67,0.33,722.61
09/23/2018,"Syrup, Maple",Breakfast,1.0,Tablespoon,52,0.4,0,13.42,0.1,11.90,0,0,1.80
09/23/2018,"Margarine, Soft",Breakfast,1.0,Teaspoon,34,3.75,0.2,0.6,0.54,0,0,0,33.32
09/23/2018,"Toaster Pastry, Frosted Brown Sugar Cinnamon",Breakfast,1.0,Each,210,7,2,34,2,16,0,0,170
09/23/2018,"Popcorn, White Cheddar Cheese",Dinner,2.5,Ounces,400,25,7.50,35,5,5,5,0,725
09/23/2018,Hopadillo IPA Beer,Dinner,24.0,Fluid ounces,297,0,3,27,0,0,0,0,21
09/23/2018,"Crackers, Saltine",Dinner,2.0,Each,25,0.53,0.57,4.46,0.12,0.13,0.17,0,66.96
09/23/2018,"Bread, French, Small Slice",Dinner,1.667,Slices,154,0.98,6.27,30.11,0.26,1.37,1.28,0,346.74
09/23/2018,"Butter, Salted",Dinner,1.0,Tablespoon,102,11.52,0.12,0.1,7.29,0.1,0,30.53,81.79
