Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
09/16/2018,"Beef, Liver and Onions",Lunch,1.5,Each,449,16.50,52.50,19.50,n/a,n/a,1.50,687,141
09/16/2018,"Cabbage, Sautéed w/ Oil",Lunch,4.0,Servings,124,9.60,2.20,10.40,1.40,5.60,4.40,0,32
09/16/2018,"Yams, Candied, w/ Brown Sugar, Cinnamon, Nutmeg",Lunch,1.0,Cup,340,0,4,92,0,42,8,0,720
09/16/2018,"Pie, Coconut Cream",Lunch,0.333,Piece,64,3.54,0.45,7.93,1.49,7.73,0.28,0,54.35
09/16/2018,Greek Yogurt Dip chipotle ranch,Dinner,5.0,Tablespoons,150,12.50,5,5,0,2.50,0,12.50,750
09/16/2018,"Cheese, Cheddar, 1 oz Slice",Dinner,1.333,Slices,150,12.37,9.29,0.48,7.87,0.19,0,39.19,231.78
09/16/2018,Sauce,Dinner,2.5,Servings,175,0,n/a,47.50,n/a,447.50,n/a,n/a,237.50
09/16/2018,"Pork Ribs, Spareribs, Braised",Dinner,0.5,Pound,900,68.72,65.91,0,25.22,0,0,274.42,210.92
09/15/2018,Eggs,Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
09/15/2018,"Butter, Pure Irish",Breakfast,0.5,Tablespoon,50,5.50,0,0,4,0,0,15,0
09/15/2018,HEB Pancake & Waffle Syrup,Breakfast,2.0,Tablespoons,105,0,0,26,0,15,0,0,59.50
09/15/2018,"Sausage, Pork",Breakfast,0.125,Pound,200,18.40,7.20,0.80,6.40,0,0,40,472
09/15/2018,Pancake Mix 4",Breakfast,1.0,Each,90,1.25,2.50,17,0.50,3.50,0.50,0,320
09/15/2018,"Milk, Evaporated, Vit D Added",Breakfast,2.0,Tablespoons,40,2,2,3,1.50,3,0,10,30
09/15/2018,"Hot Dog, K.S.",Lunch,1.0,Each,570,33,24,46,12,9,2,80,1750
09/15/2018,"Soda, Pepsi",Lunch,1.0,Can,150,0,0,41,0,41,0,0,30
09/15/2018,Cold Brew Mocha Freeze,Lunch,0.125,Serving,49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
09/15/2018,"Pizza, Cheese, 14"", Fast Food",Dinner,0.125,Slice,34,1.22,1.53,4.19,0.54,0.52,0.22,2.70,68.88
09/15/2018,Sweet Kale Salad,Dinner,2.0,Cups,280,16,6,30,n/a,20,4,n/a,n/a
09/15/2018,Cheesecake,Dinner,1.5,Slices,385,27,6.60,30.60,11.90,26.16,0.48,66,248.40
09/15/2018,"Pork Ribs, Spareribs, Braised",Dinner,0.5,Pound,900,68.72,65.91,0,25.22,0,0,274.42,210.92
09/14/2018,Cookies and Cream Protein Powder,Breakfast,35.0,Grams,140,2,25,5,1,2,1,45,100
09/14/2018,Greek Salad With Gyro Meat,Breakfast,1.333,Servings,600,26.66,27.99,2.67,n/a,n/a,n/a,n/a,n/a
09/14/2018,"Salad, Iceberg Wedge, w/ Bleu Cheese",Lunch,1.0,Each,474,41.90,14.60,8.30,13.10,n/a,n/a,n/a,989.40
09/14/2018,"Mashed Potatoes, Homemade w/ Whole Milk & Butter",Lunch,1.0,Cup,237,8.86,3.91,35.30,5.48,3,3.15,23.10,665.70
09/14/2018,"Apple Sauce, No Sugar Added, Natural",Lunch,0.333,Cup,33,0,0,9.32,0,7.99,0.67,0,0
09/14/2018,Pork Chop Lunch,Lunch,10.0,Ounces,560,42.75,40.75,0,n/a,n/a,n/a,n/a,n/a
09/14/2018,Pepperoni Pizza,Dinner,5.0,Slices,"1,525",40,47.50,87.25,n/a,n/a,n/a,n/a,n/a
09/14/2018,"Chicken Breast, Skinless, Cooked",Dinner,4.0,Ounces,187,4,35.18,0,1.13,0,0,96.5,84.5
09/14/2018,"Pasta, Fettuccine Alfredo",Dinner,0.5,Serving,505,28,15,48.50,17,2.50,3.50,77.50,425
09/14/2018,Karbach Love Street,Ale/Wine 1,21.0,Ounces,263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
09/13/2018,"Soufflé, Spinach & Artichoke",Breakfast,1.0,Each,520,33,19,38,18,8,2,175,890
09/13/2018,Avacado Egg White & Spinach Sansandwich,Breakfast,1.0,Serving,410,13,11,49,6,2,4,25,470
09/13/2018,Peach and Blueberry Power Smothie,Breakfast,1.0,Serving,180,2,2,43,0,39,2,0,55
09/13/2018,Greek Salad With Gyro Meat,Lunch,2.0,Servings,900,40,42,4,n/a,n/a,n/a,n/a,n/a
09/13/2018,"Bread, Pita, White",Lunch,3.0,Each,495,2.16,16.38,100.26,0.29,2.34,3.96,0,964.80
09/13/2018,Chicken Tender,Dinner,4.5,Pieces,572,31.50,31.50,40.50,n/a,n/a,n/a,n/a,n/a
09/13/2018,"French Fries, Medium, Fast Food",Dinner,1.0,Serving,427,22.85,5.4,50.26,5.31,0.92,4.69,0,259.96
09/13/2018,Chick-fil-a 8- count nuggets,Morning Nosh,3.0,Pieces,101,4.88,10.50,3.75,1.13,0.38,0.38,26.25,397.50
09/12/2018,Cookies and Cream Protein Powder,Lunch,35.0,Grams,140,2,25,5,1,2,1,45,100
09/12/2018,Turkey Skillet Scramble,Dinner,1.0,Serving,350,14,27,30,3.50,15,6,125,690
09/12/2018,Hunter-Gatherer Chicken,Dinner,1.0,Serving,300,6,34,30,1.50,11,5,80,690
09/12/2018,"Barbeque Sauce, Whiskey Maple",Dinner,2.0,Tablespoons,70,0,1,16,0,14,1,0,380
09/12/2018,Wild Alaskan Sockeye Salmon,Dinner,212.0,Grams,340,16,48,0,4,0,0,92,760
09/12/2018,"Mozzarella, Fresh",Dinner,2.5,Ounces,200,15,12.50,0,8.75,0,0,50,250
09/12/2018,Avocado,Dinner,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
09/12/2018,"Bread, Sourdough",Dinner,1.0,Slice,185,1.17,7.52,36.12,0.31,1.64,1.54,0,416
09/12/2018,"Butter, Pure Irish",Dinner,0.5,Tablespoon,50,5.50,0,0,4,0,0,15,0
09/12/2018,Chick-fil-a 8- count nuggets,Dinner,3.0,Pieces,101,4.88,10.50,3.75,1.13,0.38,0.38,26.25,397.50
09/12/2018,Beer,Ale/Wine 1,1.0,Serving,133,0,1.20,11.40,0,n/a,n/a,n/a,n/a
09/12/2018,"Beer, Bud Light",Ale/Wine 1,12.0,Fluid ounces,110,0,0.90,6.60,0,n/a,0,0,n/a
09/11/2018,Cookies and Cream Protein Powder,Breakfast,35.0,Grams,140,2,25,5,1,2,1,45,100
09/11/2018,Roasted Pork Loin,Breakfast,1.0,Serving,410,10,36,45,3,18,3,90,90
09/11/2018,"Barbeque Sauce, Whiskey Maple",Breakfast,2.0,Tablespoons,70,0,1,16,0,14,1,0,380
09/11/2018,"Rice, White, Cooked",Lunch,2.0,Cups,484,0.78,8.85,106.36,0.21,n/a,1.12,0,0
09/11/2018,"Pork, Loin Chops, Grilled, Lean",Lunch,0.333,Pound,278,9.6,48.33,0,3.2,0,0,113.28,99.69
09/11/2018,"Spring Roll, Vegetable",Lunch,1.0,Each,100,6,2,10,1,0,0.80,0,30
09/11/2018,"Egg, Fried, Large",Lunch,1.0,Each,90,7.4,6.27,0.41,1.97,0.38,0,210.22,93.84
09/11/2018,Avocado,Lunch,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
09/11/2018,"Sauce, Fish",Lunch,5.0,Tablespoons,32,0.1,4.55,3.28,0,3.28,0,0,6948
09/11/2018,"Hamburger, Whataburger, Triple Meat",Dinner,1.0,Each,"1,120",68,61,58,26,13,2,192,1759
09/11/2018,Creme Brulee Almonds,Dessert,0.25,Serving,63,4,2,4,0.25,2.50,0.75,0,41.25
09/10/2018,Cookies and Cream Protein Powder,Lunch,35.0,Grams,140,2,25,5,1,2,1,45,100
09/10/2018,Baked chicken wings w/skin,Lunch,7.0,Pieces,693,49,63,0,14,0,0,203,196
09/10/2018,"Mozzarella, Fresh",Dinner,4.0,Ounces,320,24,20,0,14,0,0,80,400
09/10/2018,"Bread, Sourdough",Dinner,1.125,Slices,208,1.32,8.46,40.64,0.35,1.84,1.73,0,468
09/10/2018,Ravioli,Dinner,10.0,Pouches,433,18.33,21.67,46.67,n/a,n/a,n/a,n/a,n/a
09/10/2018,"Ground Beef, 90% Lean, Broiled",Dinner,0.5,Pound,492,26.60,59.22,0,10.48,0,0,192.78,154.22
09/10/2018,"Cheese, Parmesan, Grated",Dinner,4.0,Tablespoons,86,5.72,7.69,0.81,3.46,0.18,0,17.60,305.80
09/10/2018,Roasted Garlic Sauce,Dinner,1.333,Cups,320,21.33,2.67,13.33,2.67,8,2.67,n/a,773.14
