Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
01/06/2019,All Natural Pork Sausage,Breakfast,3.0,Ounces,323,28.50,13.50,3,10.50,0.75,n/a,52.50,645
01/06/2019,"Cheese, Cheddar, 1 oz Slice",Breakfast,2.0,Slices,226,18.56,13.94,0.72,11.81,0.29,0,58.80,347.76
01/06/2019,Organic Aussie Bites,Breakfast,1.0,Piece,130,7,2,16,2,8,2,0,90
01/06/2019,Medium Fruit Cup,Breakfast,1.125,Servings,51,0,0,13.50,0,10.13,2.25,0,0
01/06/2019,Alfresco Pasture-Raised Eggs,Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
01/06/2019,"Butter, Pure Irish",Breakfast,0.5,Tablespoon,50,5.50,0,0,4,0,0,15,0
01/06/2019,"Bread, Sourdough",Breakfast,2.667,Ounces,221,1.84,7.38,40.57,0,0,1.84,0,405.70
01/06/2019,Intense Dark Chocolate 92% Cacao,Breakfast,1.0,Piece,63,6.67,1,3.33,4,0.67,1.33,0,0
01/06/2019,"Lasagna, MomÂs",Dinner,1.0,Each,"1,140",76,63,46,40,16,3,310,2880
01/06/2019,"Salad, Italian, Tossed, Side",Dinner,0.75,Each,173,13.50,3,9.75,1.50,3,2.25,3.75,487.50
01/06/2019,"Bread, Garlic, Focaccia",Dinner,0.5,Each,535,37,12,39.50,13.50,0,2,40,1195
01/06/2019,"Oil, Olive, Extra Virgin",Dinner,1.0,Tablespoon,119,13.50,0,0,2,0,0,0,0
01/06/2019,Spinach And Artichoke Dip,Dinner,0.667,Cup,280,20.1,16.1,14.14,n/a,n/a,n/a,n/a,n/a
01/06/2019,"Cake, Cheesecake",Dinner,0.667,Each,500,31.35,8,46.2,18.1,38.2,1.33,156.75,333.50
01/06/2019,Chocolate mocha,Morning Nosh,10.0,Fluid ounces,163,0,32.50,8.75,0,5,1.25,0,500
01/06/2019,"Cheese, String, Mozzarella, Part Skim, Stringles, Organic",Morning Nosh,1.0,Each,60,3.50,6,1,2.50,0,0,10,110
01/06/2019,Sumatra Coffee Cashews,Morning Nosh,15.0,Pieces,205,15,4.9,19.9,5.45,12.27,2.73,0,20.45
01/06/2019,"Milk, Lactose Free Chocolate Reduced Fat Ultra Filtered",Dessert,11.5,Fluid ounces,200,6,19,19,4,17,1,30,400
01/05/2019,Barbacoa,Breakfast,2.5,Servings,413,17.50,60,5,6.25,0,2.50,150,1325
01/05/2019,"Tortilla, Corn",Breakfast,4.0,Each,209,2.74,5.47,42.85,0.43,0.84,6.5,0,43.20
01/05/2019,Avocado,Breakfast,0.25,Each,80,7.37,1,4.29,1.7,0.33,3.37,0,3.52
01/05/2019,"Milk, Whole",Breakfast,0.25,Cup,40,2,2,3.25,1.25,3,0,8.75,33.75
01/05/2019,Chicken Tender,Dinner,7.0,Pieces,889,49,49,63,n/a,n/a,n/a,n/a,n/a
01/05/2019,"Biscuit, Medium",Dinner,1.0,Each,186,8.41,3.16,24.73,1.27,1.77,0.66,0.51,536.52
01/05/2019,"Gravy, Country Style",Dinner,0.667,Cup,120,8,2.66,8,2.66,2.66,0,12.59,506.87
01/05/2019,Schlotzky's Salt And Vinegar Chips,Dinner,1.0,Serving,230,13,2,24,1.50,2,1,0,300
01/05/2019,Angus Pastrami Reuben- Small,Dinner,1.333,Servings,813,35.99,46.66,77.31,16,6.67,6.67,113.31,1959.51
01/05/2019,Cheesy Garlic Breadsticks,Dinner,3.0,Servings,270,9,9,45,3,0,3,0,375
01/05/2019,Homeade Vanilla Ice Cream,Dessert,1.0,Cup,180,9,4,20,6,19,0,35,70
01/05/2019,"Pie, Pecan",Dessert,0.75,Slice,233,14.25,2.25,24.75,3,13.50,0.75,37.50,172.50
01/04/2019,Egg White Chicken Grill,Breakfast,1.0,Serving,300,6,25,31,3,1,1,55,970
01/04/2019,Bacon,Breakfast,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
01/04/2019,Medium Fruit Cup,Breakfast,1.125,Servings,51,0,0,13.50,0,10.13,2.25,0,0
01/04/2019,"Chicken Breast, Skinless, Cooked",Breakfast,1.5,Ounces,70,1.50,13.19,0,0.43,0,0,36.2,31.52
01/04/2019,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,2.0,Each,140,10,12,0,3,0,0,370,140
01/04/2019,"Bread, Sourdough",Breakfast,1.0,Slice,185,1.17,7.52,36.12,0.31,1.64,1.54,0,416
01/04/2019,"Hash, Corned Beef",Breakfast,2.75,Ounces,167,8.35,20.88,0,4.87,0,0,27.84,682.16
01/04/2019,Potato Latkes,Breakfast,0.667,Each,220,11.36,3.95,26.89,1.5,1.88,2.74,21.3,238.28
01/04/2019,"Turkey Breast, Lean, Cooked",Dinner,0.125,Pound,107,3.97,14.74,0,1.19,0,0,41.96,35.72
01/04/2019,"Dressing, Fresh Herb Vinaigrette",Dinner,2.0,Servings,580,60,0,12,5,8,0,0,900
01/04/2019,Avocado,Dinner,0.25,Each,80,7.37,1,4.29,1.7,0.33,3.37,0,3.52
01/04/2019,Bacon,Dinner,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
01/04/2019,Multigrain Croissant,Dinner,1.0,Serving,120,5,7,31,3.50,n/a,n/a,15,115
01/04/2019,"Cheese, Blue, Crumbled",Dinner,0.25,Cup,119,9.70,7.22,0.79,6.30,0.17,0,25.31,470.81
01/04/2019,"Seeds, Pumpkin, Natural",Dinner,0.125,Cup,80,6,3,3.50,1,0,1.50,0,0
01/04/2019,"Cookie, Oatmeal Raisin",Dinner,3.0,Each,196,7.29,2.92,30.78,1.45,17.3,1.8,14.85,242.10
01/04/2019,Chocolate mocha,Morning Nosh,1.0,Cup,130,0,26,7,0,4,1,0,400
01/04/2019,"Bar, Protein, Chewy, Peanut Butter Dark Chocolate",Morning Nosh,1.5,Each,285,18,15,21,5.25,9,7.50,0,270
01/04/2019,"Beef, Jerky, Original",Morning Nosh,1.75,Ounces,159,1.87,17.72,15.85,0.93,12.12,0,37.30,1296.24
01/04/2019,Organic Aussie Bites,Morning Nosh,2.0,Pieces,260,14,4,32,4,16,4,0,180
01/03/2019,"Chips, Plantain, Islen Platanutres",Dinner,1.0,Ounce,150,8,1,18,0,1,2,0,170
01/03/2019,Fried Plantains,Dinner,1.5,Each,313,13.38,1.34,52.99,1.11,23.81,3.91,0,8.50
01/03/2019,"Side, Roasted Seasonal Vegetables",Dinner,1.0,Each,80,4.50,2,10,0,5,3,0,160
01/03/2019,"Latino Dish, Empanadas, Beef",Dinner,1.125,Pieces,335,18,11.25,31.50,5.6,1.80,2.2,25.88,441
01/03/2019,"Salad, Caesar, Kit",Dinner,4.0,Cups,240,18,6,16,4,4,4,10,660
01/03/2019,"Beef, Ribeye Filet, Boneless, Lean, Grilled",Dinner,18.0,Ounces,"1,017",46.87,147.4,1.13,16.25,0,0,419.57,302.39
01/03/2019,"Cake, Tres Leches",Dessert,1.333,Pieces,333,20,5.33,33.33,10.66,27.99,0,66.65,213.28
01/03/2019,"Margarita, Classic, On the Rocks",Ale/Wine 1,2.0,Each,500,0,0,44,0,n/a,n/a,n/a,1540
01/02/2019,"Curry, Chicken Korma",Lunch,0.5,Pound,288,11.54,33.12,10.44,2.71,6.32,1.61,120.42,154.54
01/02/2019,"Cauliflower, Cooked",Lunch,2.0,Cups,57,1.12,4.56,10.19,0.17,5.16,5.70,0,37.20
01/02/2019,"Rice, White, Basmati, Cooked",Lunch,0.5,Cup,102,0.30,2.45,21.65,0.15,0,0.45,0,1
01/02/2019,"Oysters, Pacific",Dinner,6.0,Each,243,6.90,28.35,14.85,1.53,0,0,150,318
01/02/2019,"Bread, French, Small Slice",Dinner,3.0,Slices,277,1.76,11.28,54.18,0.47,2.46,2.30,0,624
01/02/2019,"Rice, Brown, Dirty, New Orleans Style, Dry",Dinner,1.0,Cup,640,4,16,132,0,0,4,0,2960
01/02/2019,"Etouffee, Crawfish",Dinner,1.0,Cup,270,12,21,19,2.50,4,2,150,1000
01/02/2019,"Redfish, Raw",Dinner,0.333,Pound,148,4.53,27.19,0,1.51,0,n/a,63.44,110.26
01/02/2019,"Asparagus, Spears, Cooked",Dinner,5.0,Each,17,0.17,1.80,3.8,0.3,0.98,1.50,0,10.50
01/02/2019,"Cheese, String, Mozzarella, Part Skim, Stringles, Organic",Morning Nosh,1.0,Each,60,3.50,6,1,2.50,0,0,10,110
01/02/2019,Sumatra Coffee Cashews,Morning Nosh,11.0,Pieces,150,11,3,14,4,9,2,0,15
01/02/2019,"Nuts, Pistachios No Shells Lightly Salted (28g/0.25c/~54)",Morning Nosh,14.0,Grams,75,6.50,3,4,0.75,1,1.50,0,32.50
01/02/2019,"Pudding, Bread, w/ Caramel Sauce",Dessert,0.333,Each,300,17.98,5.33,30.97,10.99,17.98,0.33,96.57,219.78
01/01/2019,"Tamale, Pork",Breakfast,1.5,Each,375,15,15,45,6,6,3,37.50,1035
01/01/2019,"Tortilla, Flour, 6""",Breakfast,1.0,Each,94,2.33,2.49,15.40,0.56,0.58,0.93,0,190.80
01/01/2019,"Egg, Fried, Large",Breakfast,3.0,Each,270,21.13,18.80,1.24,5.92,1.15,0,630.66,281.52
01/01/2019,"Bacon, Cooked",Breakfast,3.0,Pieces,130,10.3,8.89,0.34,3.30,0,0,26.40,554.40
01/01/2019,"Potatoes, Breakfast",Breakfast,1.0,Each,140,5,2,21,0,1,2,0,290
01/01/2019,"Beef, Top Sirloin Steak, Lean, Cooked",Dinner,0.333,Pound,388,23.79,40.48,0,9.36,0,0,125.37,81.56
01/01/2019,"Chicken, Breast, Grilled, w/o Skin",Dinner,0.333,Pound,211,4.53,39.88,0,1.36,0,0,108.75,95.16
01/01/2019,"Rice, Brown",Dinner,0.5,Serving,105,2.75,2,18,0.50,0,1.25,0,97.50
01/01/2019,"Beans, Black",Dinner,0.5,Serving,60,0.50,3.50,11,0,0,6,0,130
01/01/2019,Avocado,Dinner,0.5,Each,161,14.73,2.1,8.57,2.13,0.66,6.73,0,7.4
01/01/2019,"Corn, Sweet, Kernels",Dinner,0.75,Cup,94,1.47,3.56,20.34,0.35,6.81,2.17,0,16.31
01/01/2019,"Chips, Tortilla, Yellow Corn",Dinner,4.0,Pieces,62,2.64,0.88,8.36,0.22,0,0.44,0,44
01/01/2019,"Cheese, Queso Blanco",Dinner,1.5,Ounces,121,10.63,7.59,0,6.7,0,0,30.37,531.55
01/01/2019,High Energy Trail Mix,Morning Nosh,0.25,Cup,140,7,2,18,2.50,12,1,n/a,10
01/01/2019,"Cheese, Swiss, 1 oz Slice",Morning Nosh,2.333,Slices,248,18.16,17.59,3.51,11.61,0.86,0,60.10,125.42
01/01/2019,"Jerky, Beef",Morning Nosh,4.0,Pieces,326,20.48,26.56,8.83,8.68,7.20,1.44,38.40,1770.40
01/01/2019,Chocolate mocha,Morning Nosh,1.0,Cup,130,0,26,7,0,4,1,0,400
12/31/2018,Bacon,Breakfast,3.0,Slices,120,9,10.50,0,n/a,n/a,0,n/a,255
12/31/2018,"Eggs, Med, Fried",Breakfast,3.0,Each,234,18,16.50,1.50,6,n/a,n/a,n/a,621
12/31/2018,"Beans, Refried",Breakfast,1.333,Cups,216,0,13.45,34.94,0,8.6,13.55,0,1854.87
12/31/2018,"Sauce, Ranchero, Side",Breakfast,2.0,Each,120,6,2,14,0,n/a,2,n/a,740
12/31/2018,"Tortilla, Flour, 6""",Breakfast,1.0,Each,94,2.33,2.49,15.40,0.56,0.58,0.93,0,190.80
12/31/2018,"Chicken Tenders, Fast Food",Lunch,3.0,Each,243,14.7,15.74,13.23,2.29,0,0.67,37.80,719.88
12/31/2018,"Tamales, Beef, Shred",Dinner,4.0,Each,800,36,28,96,6,4,8,80,2640
12/31/2018,"Wine, Red",Dinner,20.0,Fluid ounces,500,0,0.41,15.35,0,3.65,0,0,23.52
