Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
07/29/2018,"Tortillas, Corn Mini",Breakfast,3.5,Servings,335,2.33,3.11,29.56,0,3.11,4.67,0,15.56
07/29/2018,Queso fresco,Breakfast,2.0,Tablespoons,160,12,12,0,8,0,0,50,440
07/29/2018,Avacado,Breakfast,0.5,Each,114,10.50,1.35,6,1.50,0.20,4.60,0,5.50
07/29/2018,Chicken Tender,Dinner,4.0,Pieces,508,28,28,36,n/a,n/a,n/a,n/a,n/a
07/29/2018,"Fries, Crinkle Cut",Dinner,1.0,Serving,330,15,4,42,2,0,4,0,90
07/29/2018,Coleslaw,Dinner,1.0,Serving,100,6,1,10,1,8,2,2.50,300
07/29/2018,Pretzel Crisps Sea Salt & Cracked Pepper,Morning Nosh,28.0,Grams,110,1.50,2,22,0,2,1,0,500
07/29/2018,"Hummus, Roasted Pine Nut",Morning Nosh,28.0,Grams,80,6,2,4,1,0,1,0,130
07/29/2018,"Bread, Sourdough",Morning Nosh,0.5,Slice,92,0.59,3.76,18.6,0.16,0.82,0.77,0,208
07/29/2018,Unsalted Roasted Cashews,Dessert,10.0,Grams,64,5,1.79,2.86,0.89,0.36,n/a,n/a,n/a
07/29/2018,Ricotta Con Latte,Dessert,0.5,Cup,180,14,8,4,10,4,0,60,160
07/29/2018,"Honey, Amber",Dessert,1.0,Teaspoon,21,0,0.2,5.77,0,5.75,0.1,0,0.28
07/29/2018,"Strawberries, Sliced",Dessert,0.5,Cup,27,0.25,0.56,6.37,0.1,4.6,1.66,0,0.83
07/29/2018,Hopadillo IPA Beer,Ale/Wine 1,12.0,Fluid ounces,149,0,1.50,13.50,0,0,0,0,10.50
07/29/2018,Ricotta Con Latte,Dessert,0.25,Cup,90,7,4,2,5,2,0,30,80
07/29/2018,"Watermelon, Diced, Fresh",Dessert,1.0,Cup,46,0.23,0.93,11.48,0.2,9.42,0.61,0,1.52
07/28/2018,Goat Cheese Mild Original,Breakfast,30.0,Grams,50,4,3,1,3,1,0,15,125
07/28/2018,Bacon,Breakfast,2.0,Slices,80,6,7,0,n/a,n/a,0,n/a,170
07/28/2018,"Eggs - Organic Pasture-Raised, Large Grade A",Breakfast,3.0,Each,210,15,18,0,4.50,0,0,555,210
07/28/2018,Moscow Mule,Dinner,12.0,Ounces,273,0,n/a,39,n/a,31.50,n/a,n/a,30
07/28/2018,"Chips, Tortilla, Yellow Corn",Dinner,10.0,Pieces,154,6.60,2.20,20.90,0.55,0,1.10,0,110
07/28/2018,"Tortilla, Corn",Dinner,2.0,Each,105,1.37,2.74,21.43,0.22,0.42,3.2,0,21.60
07/28/2018,"Rice, Brown",Dinner,1.0,Serving,210,5.50,4,36,1,0,2.50,0,195
07/28/2018,"Beans, Pinto",Dinner,1.0,Serving,115,1,6,21,0,0,10,5,300
07/28/2018,Avacado,Dinner,0.75,Each,170,15.75,2.2,9,2.25,0.30,6.90,0,8.25
07/28/2018,"Beef, Carne Asada",Dinner,4.0,Ounces,198,10,24,3,3,2,0,0,0
07/28/2018,"Chicken, Breast, Grilled, w/o Skin",Dinner,3.0,Ounces,119,2.55,22.45,0,0.77,0,0,61.23,53.58
07/28/2018,"Ribs, Baby Back, Half Rack",Dinner,1.0,Each,550,37,51,2,13,n/a,n/a,n/a,570
07/28/2018,Shrimp Embrochette,Dinner,3.0,Servings,330,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
07/28/2018,"Chips, Potato, Original",Morning Nosh,1.0,Ind Package,100,6,1,13,1.50,0,1,0,110
07/28/2018,Chocolate Ice Cream,Dessert,1.0,Serving,180,6,5,27,5,21,0,24,102
07/27/2018,"Bar, Perfect, Almond Butter",Breakfast,65.0,Grams,310,18,13,24,1.50,18,4,15,60
07/27/2018,Simply Cottage Cheese With Blueberry On The Bottom,Breakfast,1.0,Container,120,1.50,16,13,1,10,0,10,320
07/27/2018,Hard Boiled Eggs,Breakfast,3.0,Servings,180,12,18,0,4.50,0,0,495,180
07/27/2018,"Salad, Greek, Whole",Lunch,1.0,Each,400,36,5,13,8,7,4,25,1010
07/27/2018,"Gyro Meat, Lamb",Lunch,3.0,Ounces,270,21,13,8,5,0,3,55,880
07/27/2018,Pita Bread,Lunch,8.0,Each,240,4,8,44,2,2,2,0,280
07/27/2018,"Peanuts, Raw",Dinner,0.125,Cup,103,8.99,4.71,2.94,1.25,0.72,1.55,0,3.29
07/27/2018,"Beer, Heineken",Dinner,12.0,Fluid ounces,180,0,1.50,3.70,0,0,n/a,0,n/a
07/27/2018,Bread,Dinner,1.0,Each,90,11,5.20,27.70,n/a,n/a,n/a,n/a,269
07/27/2018,"Butter, Salted",Dinner,1.0,Teaspoon,34,3.84,0.4,0,2.43,0,0,10.18,27.26
07/27/2018,"Salad, House w/o Dressing, Side",Dinner,1.0,Each,230,16,13,9,8,4,2,135,290
07/27/2018,"Side, Fresh Vegetables",Dinner,0.5,Serving,95,7.50,2,6,3.50,2.50,2.50,0,210
